poco,utm_e,utm_n,prof,ne,nd,dd,vazao,qs,rate_wtp,CJ_T,Theis_T,Neu_T
PA1,429350,7445220,165,14.7,36.7,22,144,6.55,0.04,0.003,0.0029,0.0012
PA10,426780,7443360,100,53.5,60.4,6.9,13,1.88,0.00361111111111111,0.0013,0.00059,0.00017
PA11,422710,7441630,167,43.3,62.1,18.8,82.2,4.37,0.0228333333333333,0.0012,0.0012,0.00056
PA12,423050,7441730,166,44.4,55,10.6,86.5,8.16,0.0240277777777778,0.0027,0.0027,
PA13,424880,7444950,60,3.7,9.4,5.7,9.9,1.72,0.00275,0.00084,0.00057,0.0002
PA15,423210,7441500,170,43,60.3,17.3,117,6.76,0.0325,0.003,0.0023,0.001
PA17,422570,7440865,200,36,49.3,13.3,123.9,9.35,0.0344166666666667,0.0029,0.0028,
PA2,427340,7445400,66,40.6,48.9,8.3,33,3.97,0.00916666666666667,0.00092,0.00098,
PA25,426420,7443780,180,45.2,53.5,8.3,55.4,6.71,0.0153888888888889,0.0034,0.0011,0.00049
PA7,424525,7442690,168,42.1,61.2,19.1,68.5,3.59,0.0190277777777778,0.0016,0.0011,0.0005
SA14,427280,7442320,165,32.5,47.7,15.2,99,6.52,0.0275,0.0026,0.0022,
SA17,428770,7444870,207,44,60,16,101.7,6.35,0.02825,0.0041,0.002,0.00092
SA18,429680,7444910,220,25.7,49.7,24,132.7,5.52,0.0368611111111111,0.0013,0.00078,0.00028
SA19,429950,7444420,229,41.9,70.1,28.2,117.7,4.18,0.0326944444444444,0.0013,0.0013,0.00081
SA20,426500,7444490,94,44.9,72.9,28,87.1,3.11,0.0241944444444444,0.00056,0.0005,0.00011
SA21,427330,7444790,91,42.4,80.3,37.9,89.9,2.37,0.0249722222222222,0.001,0.00074,0.00012
SA21A,427510,7441570,203,47.1,62.3,15.2,122.9,8.07,0.0341388888888889,0.0027,0.0027,0.0011
SA22,427280,7442320,164,53.8,79.4,25.6,110.7,4.33,0.03075,0.0025,0.0014,0.00062
SA23,427830,7443480,193,56.4,73.7,17.3,80.6,4.65,0.0223888888888889,0.0012,0.0013,
SA24,428020,7443310,192,78,96.7,18.7,104.1,5.58,0.0289166666666667,0.0028,0.0018,0.00081
SA25,428360,7442700,205,72.2,97.1,24.9,103.2,4.15,0.0286666666666667,0.0016,0.0014,
SA26,428600,7442100,,44.2,101,56.8,40,0.7,0.0111111111111111,0.00045,0.00023,0.000057
SA27,428210,7444030,,84.8,91.5,6.7,80,11.9,0.0222222222222222,0.0071,0.0031,0.0014
SACV3,434050,7443820,250,36.3,62.7,26.4,36,1.36,0.01,0.00033,0.00034,0.00023
SAGU2,425350,7435500,49,13.2,44.2,31,3.2,0.1,0.000888888888888889,0.000035,0.000044,0.0000056
SAGU5,425130,7436670,170,51.6,114.5,62.9,7.3,0.12,0.00202777777777778,0.000032,0.000032,0.00001
SAGU6,424570,7435870,204,56.1,90.8,34.7,9.7,0.28,0.00269444444444444,0.000077,0.000077,
SAGU7,424910,7437080,250,58.8,99,40.2,26.6,0.66,0.00738888888888889,0.00017,0.00016,
SAVM1,422560,7442280,198,34.9,97.3,62.4,90.8,1.46,0.0252222222222222,0.00067,0.00047,0.00036
