utmn,utme,folha_ibge,codigo_poco,tipo_forma,utm_mc,vazao_esta,Hora_Dia,Dia_Mes,Mes_Ano,nivel_esta,cota_terre
7443060,426570,30,7011,FORMACAO CACAPAVA,45,15,6,26,12,70.8,0
7440800,422800,306,3,GRUPO TAUBATE,45,0,0,0,0,31.8,0
7440830,422570,306,4,FORMACAO CACAPAVA,45,120,2,30,12,36.03,0
7441500,422750,306,15,FORMACAO CACAPAVA,45,86.5,6,30,12,44.4,575
7441450,422650,306,16,FORMACAO CACAPAVA,45,65.4,6,30,12,50.6,557
7412250,422500,306,39,CACAPAVA/TREMEMBE,45,0,0,0,0,34.92,580
7440790,422450,306,151,FORMACAO CACAPAVA,45,90,2,30,12,42.5,560
7441470,423680,307,1,FORMACAO CACAPAVA,45,0,0,0,0,33,571
7441500,423500,307,2,FORMACAO CACAPAVA,45,100,18,30,12,43,570
7443500,426600,307,3,TERCIARIO FORMACAO TREMEMBE,45,49.3,20,30,12,36.66,581
7443500,426500,307,4,TERCIARIO FORMACAO TREMEMBE,45,39.1,20,30,12,36,581
7442450,424950,307,5,**,45,48.4,10,30,12,0,175
7436300,424120,307,7,**,45,0,0,0,0,0,204
7443560,426730,307,8,**,45,22,12,30,12,8.2,580
7443640,426640,307,9,**,45,22,12,30,12,28.5,580
7443790,426510,307,10,**,45,22,12,30,12,45.2,580
7443500,427900,307,11,FORMACAO CACAPAVA,45,0,0,0,0,76.85,560
7443900,428300,307,12,FORMACAO CACAPAVA,45,0,0,0,0,27,580
7442350,427400,307,13,FORMACAO CACAPAVA,45,0,0,0,0,32.54,580
7443950,426400,307,14,FORMACAO CACAPAVA,45,0,0,0,0,33.3,570
7444430,426450,307,15,FORMACAO CACAPAVA,45,0,0,0,0,44.85,555
7445150,429750,307,16,FORMACAO CACAPAVA,45,0,0,0,0,25.66,560
7444760,427360,307,17,FORMACAO CACAPAVA,45,0,0,0,0,38.13,550
7441510,427510,307,18,FORMACAO CACAPAVA,45,0,0,0,0,47.1,565
7442330,427320,307,19,FORMACAO CACAPAVA,45,0,0,0,0,53.8,560
7435500,425200,307,20,FORMACAO CACAPAVA,45,0,0,0,0,13.3,590
7435000,424550,307,21,FORMACAO CACAPAVA,45,0,0,0,0,25.18,600
7436650,425100,307,22,GRUPO TAUBATE,45,0,0,0,0,51.58,590
7443300,433600,307,23,GRUPO TAUBATE,45,0,0,0,0,17.12,620
7443400,434200,307,24,FORMACAO CACAPAVA,45,0,0,0,0,30.31,630
7439600,433450,307,25,**,45,0,0,0,0,0,125
7445150,429250,307,26,FORMACAO CACAPAVA,45,102,10,20,12,11,580
7445300,429450,307,27,FORMACAO CACAPAVA,45,144,10,20,12,14.74,560
7444220,428550,307,29,FORMACAO CACAPAVA,45,14,5,30,12,25,0
7448540,431850,307,30,FORMACAO CACAPAVA,45,0,0,0,0,50.22,587
7443200,425730,307,36,FORMACAO CACAPAVA,45,10,8,22,12,58.13,570
7443800,426550,307,37,FORMACAO CACAPAVA,45,20,8,30,12,56.3,0
7441750,423750,307,40,**,45,90,18,30,12,55.35,580
7443850,429900,307,43,FORMACAO CACAPAVA,45,27,6,25,11,0,570
7441280,423300,307,44,FORMACAO CACAPAVA,45,80,20,30,12,68.5,630
7441000,423490,307,45,FORMACAO CACAPAVA,45,80,20,30,12,71.07,630
4400000,433900,307,46,FORMACAO CACAPAVA,45,0,0,0,0,0,0
7435580,424580,307,47,**,45,0,0,0,0,0,0
7437080,424910,307,48,**,45,0,0,0,0,0,0
7444600,430100,307,49,**,45,0,0,0,0,0,0
7443650,427850,307,50,**,45,0,0,0,0,0,0
7443320,428040,307,51,**,45,0,0,0,0,0,0
7442700,428350,307,52,**,45,0,0,0,0,0,0
7442100,428600,307,53,**,45,0,0,0,0,0,580
7443900,428300,307,54,**,45,0,0,0,0,0,84.8
7444020,427400,307,55,**,45,0,0,0,0,0,0
7442050,426370,307,60,FORMACAO CACAPAVA,45,15.8,20,25,10,90.61,590
7442360,426960,307,61,FORMACAO CACAPAVA,45,60,18,30,12,93.08,576
7442950,425880,307,62,FORMACAO CACAPAVA,45,15,5,20,12,33.5,0
7440970,426030,307,66,FORMACAO CACAPAVA,45,15,11,30,12,74.4,600
7441420,428140,307,70,FORMACAO CACAPAVA,45,15,2,22,11,63.14,0
7444780,427330,307,71,FORMACAO CACAPAVA,45,5,4,30,12,51.7,570
7443220,427170,307,72,FORMACAO CACAPAVA,45,46,6,30,12,68.55,605
7442730,425160,307,110,CRISTALINO,45,4.5,5,30,12,32,0
7444200,428450,307,113,FORMACAO CACAPAVA,45,3.13,12,30,12,0,0
7436660,425600,307,114,CACAPAVA/TREMEMBE,45,4,10,30,12,54.7,649.35
7436290,426010,307,115,FORMACAO CACAPAVA,45,0.7,20,30,12,35.5,616
7444870,430890,307,125,FORMACAO CACAPAVA,45,0,0,0,0,0,586
7446360,430600,307,134,FORMACAO CACAPAVA,45,5.1,4,30,12,32.14,576.86
7443010,425910,307,135,FORMACAO CACAPAVA,45,22,8,30,12,76.23,0
7442790,424650,307,137,FORMACAO CACAPAVA,45,3.2,14,30,12,13.15,0
7442400,425380,307,138,FORMACAO CACAPAVA,45,7,9,30,12,31.5,0
7438190,425760,307,141,FORMACAO CACAPAVA,45,3.5,20,30,12,31.5,0
7436950,428380,307,142,FORMACAO RIO CLARO,45,1,3,30,12,52.27,0
7444540,428370,307,144,**,45,3,0,0,0,0,0
7451090,423450,307,145,TERCIARIO FORMACAO TREMEMBE,45,9.8,1,30,12,20.76,0
7445620,428390,307,149,FORMACAO CACAPAVA,45,1.2,0,0,0,0,0
7444440,427800,307,151,**,0,0,0,0,0,0,0
7444450,430920,307,154,CRISTALINO,45,4,5,20,12,8,0
7443060,425180,307,155,**,45,9,1,30,12,13.57,0
7445350,427260,307,157,CRISTALINO,45,9,4,30,12,62,0
7443880,432650,307,158,FORMACAO CACAPAVA,45,10,2,30,12,44,598
7444300,426290,307,164,GRUPO TAUBATE,45,2.91,12,30,0,54.5,560
7444450,427730,307,167,FORMACAO CACAPAVA,45,0.6,8,30,12,6.5,0
7437090,425520,307,171,FORMACAO CACAPAVA,45,7,4,30,12,38,0
7445100,428310,307,172,**,0,0,0,0,0,5,0
7444100,430550,307,183,FORMACAO CACAPAVA,45,32,20,30,12,88,0
7442420,424180,307,186,CRISTALINO,45,9,20,30,12,69.2,0
7442620,427260,307,233,FREATICO,45,3,0,0,0,0,0
7442880,425580,307,236,GRUPO TAUBATE,45,0.1,0,0,0,0,0
7442880,425570,307,237,GRUPO TAUBATE,45,0.1,0,0,0,0,0
7442520,425000,307,246,**,45,14,0,0,0,0,0
7451990,425340,307,262,FREATICO,45,2.2,0,0,0,0,0
7441780,425230,307,272,FORMACAO CACAPAVA,45,0.7,0,0,0,0,0
7437660,431700,307,273,FREATICO,45,1.2,0,0,0,0,0
7411830,424360,327,50,GRUPO TAUBATE,45,15,0,0,0,0,0
7411820,424470,327,51,FREATICO,45,0,0,0,0,0,0
7411820,424500,327,52,FREATICO,45,0,0,0,0,0,0
7443060,426570,30,7011,FORMACAO CACAPAVA,45,15,6,26,12,70.8,0
7440800,422800,306,3,GRUPO TAUBATE,45,0,0,0,0,31.8,0
7440830,422570,306,4,FORMACAO CACAPAVA,45,120,2,30,12,36.03,0
7441500,422750,306,15,FORMACAO CACAPAVA,45,86.5,6,30,12,44.4,575
7441450,422650,306,16,FORMACAO CACAPAVA,45,65.4,6,30,12,50.6,557
7412250,422500,306,39,CACAPAVA/TREMEMBE,45,0,0,0,0,34.92,580
7440790,422450,306,151,FORMACAO CACAPAVA,45,90,2,30,12,42.5,560
7441470,423680,307,1,FORMACAO CACAPAVA,45,0,0,0,0,33,571
7441500,423500,307,2,FORMACAO CACAPAVA,45,100,18,30,12,43,570
7443500,426600,307,3,TERCIARIO FORMACAO TREMEMBE,45,49.3,20,30,12,36.66,581
7443500,426500,307,4,TERCIARIO FORMACAO TREMEMBE,45,39.1,20,30,12,36,581
7442450,424950,307,5,**,45,48.4,10,30,12,0,175
7436300,424120,307,7,**,45,0,0,0,0,0,204
7443560,426730,307,8,**,45,22,12,30,12,8.2,580
7443640,426640,307,9,**,45,22,12,30,12,28.5,580
7443790,426510,307,10,**,45,22,12,30,12,45.2,580
7443500,427900,307,11,FORMACAO CACAPAVA,45,0,0,0,0,76.85,560
7443900,428300,307,12,FORMACAO CACAPAVA,45,0,0,0,0,27,580
7442350,427400,307,13,FORMACAO CACAPAVA,45,0,0,0,0,32.54,580
7443950,426400,307,14,FORMACAO CACAPAVA,45,0,0,0,0,33.3,570
7444430,426450,307,15,FORMACAO CACAPAVA,45,0,0,0,0,44.85,555
7445150,429750,307,16,FORMACAO CACAPAVA,45,0,0,0,0,25.66,560
7444760,427360,307,17,FORMACAO CACAPAVA,45,0,0,0,0,38.13,550
7441510,427510,307,18,FORMACAO CACAPAVA,45,0,0,0,0,47.1,565
7442330,427320,307,19,FORMACAO CACAPAVA,45,0,0,0,0,53.8,560
7435500,425200,307,20,FORMACAO CACAPAVA,45,0,0,0,0,13.3,590
74350,424550,307,21,FORMACAO CACAPAVA,45,0,0,0,0,25.18,600
7436650,425100,307,22,GRUPO TAUBATE,45,0,0,0,0,51.58,590
7443300,433600,307,23,GRUPO TAUBATE,45,0,0,0,0,17.12,620
7443400,434200,307,24,FORMACAO CACAPAVA,45,0,0,0,0,30.31,630
7439600,433450,307,25,**,45,0,0,0,0,0,125
7445150,429250,307,26,FORMACAO CACAPAVA,45,102,10,20,12,11,580
7445300,429450,307,27,FORMACAO CACAPAVA,45,144,10,20,12,14.74,560
7444220,428550,307,29,FORMACAO CACAPAVA,45,14,5,30,12,25,0
7448540,431850,307,30,FORMACAO CACAPAVA,45,0,0,0,0,50.22,587
7443200,425730,307,36,FORMACAO CACAPAVA,45,10,8,22,12,58.13,570
7443800,426550,307,37,FORMACAO CACAPAVA,45,20,8,30,12,56.3,0
7441750,423750,307,40,**,45,90,18,30,12,55.35,580
7443850,429900,307,43,FORMACAO CACAPAVA,45,27,6,25,11,0,570
7441280,423300,307,44,FORMACAO CACAPAVA,45,80,20,30,12,68.5,630
7441000,423490,307,45,FORMACAO CACAPAVA,45,80,20,30,12,71.07,630
7435580,424580,307,47,**,45,0,0,0,0,0,0
7437080,424910,307,48,**,45,0,0,0,0,0,0
7444600,430100,307,49,**,45,0,0,0,0,0,0
7443650,427850,307,50,**,45,0,0,0,0,0,0
7443320,428040,307,51,**,45,0,0,0,0,0,0
7442700,428350,307,52,**,45,0,0,0,0,0,0
7442100,428600,307,53,**,45,0,0,0,0,0,580
7443900,428300,307,54,**,45,0,0,0,0,0,84.8
7444020,427400,307,55,**,45,0,0,0,0,0,0
7442050,426370,307,60,FORMACAO CACAPAVA,45,15.8,20,25,10,90.61,590
7442360,426960,307,61,FORMACAO CACAPAVA,45,60,18,30,12,93.08,576
7442950,425880,307,62,FORMACAO CACAPAVA,45,15,5,20,12,33.5,0
7440970,426030,307,66,FORMACAO CACAPAVA,45,15,11,30,12,74.4,600
7441420,428140,307,70,FORMACAO CACAPAVA,45,15,2,22,11,63.14,0
7444780,427330,307,71,FORMACAO CACAPAVA,45,5,4,30,12,51.7,570
7443220,427170,307,72,FORMACAO CACAPAVA,45,46,6,30,12,68.55,605
7442730,425160,307,110,CRISTALINO,45,4.5,5,30,12,32,0
7444200,428450,307,113,FORMACAO CACAPAVA,45,3.13,12,30,12,0,0
7436660,425600,307,114,CACAPAVA/TREMEMBE,45,4,10,30,12,54.7,649.35
7436290,426010,307,115,FORMACAO CACAPAVA,45,0.7,20,30,12,35.5,616
7444870,430890,307,125,FORMACAO CACAPAVA,45,0,0,0,0,0,586
7446360,430600,307,134,FORMACAO CACAPAVA,45,5.1,4,30,12,32.14,576.86
7443010,425910,307,135,FORMACAO CACAPAVA,45,22,8,30,12,76.23,0
7442790,424650,307,137,FORMACAO CACAPAVA,45,3.2,14,30,12,13.15,0
7442400,425380,307,138,FORMACAO CACAPAVA,45,7,9,30,12,31.5,0
7438190,425760,307,141,FORMACAO CACAPAVA,45,3.5,20,30,12,31.5,0
7436950,428380,307,142,FORMACAO RIO CLARO,45,1,3,30,12,52.27,0
7444540,428370,307,144,**,45,3,0,0,0,0,0
7451090,423450,307,145,TERCIARIO FORMACAO TREMEMBE,45,9.8,1,30,12,20.76,0
7445620,428390,307,149,FORMACAO CACAPAVA,45,1.2,0,0,0,0,0
7444440,427800,307,151,**,0,0,0,0,0,0,0
7444450,430920,307,154,CRISTALINO,45,4,5,20,12,8,0
7443060,425180,307,155,**,45,9,1,30,12,13.57,0
7445350,427260,307,157,CRISTALINO,45,9,4,30,12,62,0
7443880,432650,307,158,FORMACAO CACAPAVA,45,10,2,30,12,44,598
7444300,426290,307,164,GRUPO TAUBATE,45,2.91,12,30,0,54.5,560
