ponto,localizacao,data_instalacao,cota_terreno,latitude,longitude,latitude_decimal,longitude_decimal,utme,utmn,bacia,municipio,natureza,nome,subbacia,situacao,uf,uso_agua,data_perfuracao,metodo_perfuracao,perfurador,diametro_boca_tubo_milimetros,topo,base,tipo_penetracao,condicao,tipo_captacao,data_medicao,nivel_agua,vazao,nivel_bombeando,profundidade_inicial,profundidade_final,tipo_formacao,data_teste,tipo_teste_bombeamento,metodo_interpretacao,surgencia,unidade_de_bombeamento,nivel_dinamico,nivel_estatico,vazao_especifica,coeficiente_armazenamento,vazao_livre,permeabilidade,transmissividade,vazao_estabilizacao,tipo_bomba,data_analise,data_coleta,condutividade_eletrica,cor,odor,sabor,temperatura,turbidez,solidos_sedimentaveis,solidos_suspensos,aspecto_natural
3500005439,,,599,230929,454651,-23.158055,-45.780833,420050,7438750,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060060 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1975-01-01,Rotativo,HIDROPOCOS LTDA,152.4,,,PARCIAL,LIVRE,�NICA,,,,,0,100,Grupo Taubate,,,,N,,47,16,0.48,,,,,15,Bomba submersa,,,,,,,,,,,
3500005442,,,575,230845,454653,-23.145833,-45.781388,420000,7440100,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060063 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1975-01-01,Rotativo,T - JANNER,152.4,,,,LIVRE,,,,,,0,137,Grupo Taubate,,,,N,,53.6,29,0.98,,,,,24,Bomba submersa,,,,,,,,,,,
3500005443,,,565,230927,454719,-23.1575,-45.788611,419250,7438800,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060064 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1974-01-01,Rotativo,CORNER,,,,,LIVRE,,,,,,0,200,Grupo Taubate,,,,N,,34.5,8,0.91,,,,,24,Bomba submersa,,,,,,,,,,,
3500005444,,,580,230904,454712,-23.151111,-45.786666,419450,7439500,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060065 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento dom�stico,,Rotativo,HIDROPOCOS LTDA,,,,,LIVRE,,,,,,0,190,,,,,N,,,,,,,,,12,Bomba submersa,,,,,,,,,,,
3500005445,,,560,230754,454721,-23.131666,-45.789166,419200,7441650,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060066 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento dom�stico,,Rotativo,HIDROPOCOS LTDA,,,,,LIVRE,,,,,,0,135,,,,,N,,16.5,12,13.91,,,,,62.6,Bomba submersa,,,,,,,,,,,
3500005446,,,570,230921,454705,-23.155833,-45.784722,419650,7439000,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060067 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1973-01-01,Rotativo,CORNER,203.2,7,162,Parcial,Livre,�nica,,,,,0,162,Grupo Taubate,,,,N,,48,35,6.15,,,,,80,Bomba submersa,,,,,,,,,,,
3500005502,,,560,230824,454526,-23.14,-45.757222,422450,7440750,Atlantico Sul-Leste,Cacapava,Po�o tubular,8060124 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1974-01-01,Rotativo,CORNER,,0,150,Parcial,,�nica,,,,,0,170,,,,,,,,,,,,,,,Bomba submersa,,,,,,,,,,,
3500005503,,,575,230758,454505,-23.132777,-45.751388,423050,7441550,Atlantico Sul-Leste,Cacapava,Po�o tubular,8060125 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1962-01-01,Rotativo,T - JANNER,152.4,0,242,Total,,�nica,,,,,0,248.5,Complexo Embu,,,,N,,45,7,0.95,,,,,36,Bomba submersa,,,,,,,,,,,
3500005504,,,560,230813,454532,-23.136944,-45.758888,422300,7441100,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060126 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1973-01-01,Rotativo,CORNER,152.4,0,150,Parcial,Livre,�nica,,,,,0,150,Grupo Taubate,,,,N,,33,19,1.29,,,,,18,Compressor de ar,,,,,,,,,,,
3500005505,FAZENDA MUTA,,555,230530,454716,-23.091666,-45.787777,419300,7446100,Atlantico Sul-Leste,Cacapava,Po�o tubular,8060127 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento dom�stico,1970-01-01,Rotativo,HIDROPOCOS LTDA,,0,100,Parcial,,�nica,,,,,0,100,,,,,N,,,,,,,,,32,Compressor de ar,,,,,,,,,,,
3500005515,FAZENDA SAO JOSE,,601,230924,454732,-23.156666,-45.792222,418900,7438900,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060137 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento dom�stico,1971-01-01,Rotativo,CORNER,,0,132,Parcial,Livre,�nica,,,,,0,132,Grupo Taubate,,,,N,,35,20,1.73,,,,,26,Compressor de ar,,,,,,,,,,,
3500005518,CHACARA DO MARIO,,580,231125,454828,-23.190277,-45.807777,417320,7435150,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060140 SP,Rio Paraiba do Sul,N�o instalado,SP,Outros (lazer.etc.),1976-01-01,Rotativo,HIDROPOCOS LTDA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500005524,,,579,230901,454632,-23.150277,-45.775555,420600,7439600,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,8060146 SP,Rio Paraiba do Sul,N�o instalado,SP,Abastecimento industrial,,Rotativo,HIDROPOCOS LTDA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500006805,EUGENIO DE MELO,,,230847,454653,-23.146388,-45.781388,420000,7440050,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,3060111 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,,Rotativo,TRIGIL LTDA,203.2,0,137,Parcial,Semi-Confinado,�nica,,,,,0,137,Formacao Pindamonhangaba,,,,N,,53.15,29,1.04,,,,,25,Bomba submersa,1995-03-24,1995-03-20,,,,,,0.46,,,
3500006807,EUGENIO DE MELO,,,230913,454656,-23.153611,-45.782222,419900,7439250,Atlantico Sul-Leste,Sao jose dos campos,Po�o tubular,3060113 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,,Rotativo,T - JANNER,254,0,155,Parcial,Semi-Confinado,�nica,,,,,0,155,Formacao Pindamonhangaba,,,,N,,60,48,13.17,,,,,158,Bomba submersa,1995-03-24,1995-03-20,,,,,,0.3,,,
3500006828,SEDE,,581,230655,454300,-23.115277,-45.716666,426600,7443500,Atlantico Sul-Leste,Cacapava,Po�o tubular,3070003 SP,Rio Paraiba do Sul,Equipado,SP,Abastecimento industrial,1989-09-23,Rotativo,CORNER,203.2,0,191,Parcial,Semi-Confinado,�nica,,,,,0,191,Formacao Pindamonhangaba,,,,N,,46.35,36.66,5.09,,,,,49.3,Bomba submersa,1996-01-05,1995-11-16,,,,,,,,,
