like1,parmu,simulation_0,chain
0.0,-9.660482150423807,-550.0,0.0
0.0,-8.108329475265865,-550.0,0.0
0.0,-8.739550057253357,-550.0,0.0
0.0,-15.367376740529567,-550.0,0.0
0.0,-2.0417338175861595,-550.0,0.0
0.0,-12.995315088826409,-550.0,0.0
0.0,-4.893288078127574,-550.0,0.0
0.0,-7.140792656982724,-550.0,0.0
0.0,-2.5132887623641604,-550.0,0.0
0.0,-5.9732830595809006,-550.0,0.0
0.0,-2.187307702059462,-550.0,0.0
0.0,-5.983209858425605,-550.0,0.0
0.0,-6.254534244383795,-550.0,0.0
0.0,-4.859406849433075,-550.0,0.0
0.0,-14.737672355194963,-550.0,0.0
0.0,-3.4312012217693333,-550.0,0.0
0.0,-5.056924537450971,-550.0,0.0
0.0,-11.578651057305319,-550.0,0.0
0.0,-3.0684029380523974,-550.0,0.0
0.0,-3.400097553864155,-550.0,0.0
0.0,-6.061330309620578,-550.0,0.0
0.0,-13.132358694681237,-550.0,0.0
0.0,-10.395174644898912,-550.0,0.0
0.0,-8.56157985155421,-550.0,0.0
0.0,-2.023580638067587,-550.0,0.0
0.0,-10.538865417487997,-550.0,0.0
0.0,-14.597526024682237,-550.0,0.0
0.0,-12.91493806748095,-550.0,0.0
0.0,-4.5460347894762165,-550.0,0.0
0.0,-8.910509851319187,-550.0,0.0
0.0,-4.80058450871867,-550.0,1.0
0.0,-7.087880255073179,-550.0,2.0
0.0,-14.520379792128944,-550.0,3.0
0.0,-14.251225077656581,-550.0,1.0
0.0,-11.578651057305319,-550.0,2.0
0.0,-14.251225077656581,-550.0,3.0
0.0,-4.39803152575343,-550.0,1.0
0.0,-12.061297119873597,-550.0,2.0
0.0,-4.967489890260115,-550.0,3.0
0.0,-6.007872487095177,-550.0,1.0
0.0,-15.069858347880817,-550.0,2.0
0.0,-7.263790918405325,-550.0,3.0
0.0,-14.351010819270476,-550.0,1.0
0.0,-5.703718711904681,-550.0,2.0
0.0,-9.365703606223203,-550.0,3.0
0.0,-12.263752853675346,-550.0,1.0
0.0,-4.859406849433075,-550.0,2.0
0.0,-12.263752853675346,-550.0,3.0
0.0,-14.53581504541403,-550.0,1.0
0.0,-6.254534244383795,-550.0,2.0
0.0,-3.769518431514232,-550.0,3.0
0.0,-15.775622040350742,-550.0,1.0
0.0,-10.489095349011732,-550.0,2.0
0.0,-15.775622040350742,-550.0,3.0
0.0,-9.935352917181694,-550.0,1.0
0.0,-15.324671044887172,-550.0,2.0
0.0,-2.187307702059462,-550.0,3.0
0.0,-2.4789768674748434,-550.0,1.0
0.0,-4.321218240253467,-550.0,2.0
0.0,-4.559464353062598,-550.0,3.0
0.0,-8.788893527359377,-550.0,1.0
0.0,-10.532070773488236,-550.0,2.0
0.0,-15.002811237355894,-550.0,3.0
0.0,-2.3578231588878307,-550.0,1.0
0.0,-13.8588357916439,-550.0,2.0
0.0,-2.3578231588878307,-550.0,3.0
0.0,-6.331230470464842,-550.0,1.0
0.0,-6.270047644683952,-550.0,2.0
0.0,-2.1449206444689928,-550.0,3.0
0.0,-4.5492940207811206,-550.0,1.0
0.0,-5.513008233329176,-550.0,2.0
0.0,-8.151132434578749,-550.0,3.0
0.0,-13.027688500541725,-550.0,1.0
0.0,-8.952980276674312,-550.0,2.0
0.0,-5.703718711904681,-550.0,3.0
0.0,-15.384210117982958,-550.0,1.0
0.0,-8.886413537132313,-550.0,2.0
0.0,-7.2339616567766285,-550.0,3.0
0.0,-4.819086265995033,-550.0,1.0
0.0,-4.967489890260115,-550.0,2.0
0.0,-4.819086265995033,-550.0,3.0
0.0,-10.585523335278895,-550.0,1.0
0.0,-3.6960619786865525,-550.0,2.0
0.0,-10.585523335278895,-550.0,3.0
0.0,-7.936620245164182,-550.0,1.0
0.0,-6.239140264982176,-550.0,2.0
0.0,-12.964912417100564,-550.0,3.0
0.0,-2.2407307546657123,-550.0,1.0
